FICO,TotalAmtOwed,Volume,Stress,Num_Delinquent,Num_CreditLines,WomanOwned,CorpStructure,NAICS,Months
644,66314,18500,0.29871171171171174,4,12,0,Sole,459210,26
651,130881,124960,0.08728193021766965,4,12,0,LLC,459210,15
721,121367,97732,0.10348623446431737,4,11,1,Corp,459910,20
611,80281,25518,0.2621711471640933,5,8,0,Corp,722514,23
664,131805,228211,0.048129800929841246,4,10,0,Corp,722511,16
639,85899,39141,0.1828836769627756,4,10,0,Partner,459210,22
650,57061,24370,0.19512036657092052,4,9,0,LLC,444240,19
633,586316,344822,0.14169532879765984,4,12,0,LLC,445230,22
714,196292,496043,0.032976307833527875,4,10,0,LLC,445131,19
683,127412,71848,0.14777957168837916,4,9,1,Corp,445131,15
665,1147938,528641,0.18095739831000623,4,8,0,Partner,445292,15
735,70198,34799,0.16810348956387636,4,9,1,Partner,444240,19
731,202295,39219,0.4298405534732315,4,11,1,Sole,444240,25
719,244824,88296,0.23106369484461356,4,9,0,Partner,722513,23
686,135290,136227,0.0827601478904084,4,10,1,Sole,445291,8
718,145655,57548,0.2109181321100067,4,12,0,LLC,722410,23
669,1297584,255471,0.42326526298483974,4,9,0,Partner,722330,15
612,49187,31313,0.13090143603828017,5,8,0,Corp,444240,21
718,39644,10039,0.32908324202277783,4,9,0,Corp,458210,17
767,198147,52076,0.3170798448421538,4,10,1,Sole,458210,19
608,108576,150915,0.05995427889871782,5,11,0,Sole,459210,21
618,138222,30654,0.3757584654531219,5,9,0,LLC,444240,19
653,93844,53287,0.14675874666116187,4,12,0,Sole,445131,21
730,22024,6217,0.29521205297303094,4,8,1,LLC,722514,20
759,248487,75351,0.2748105532773288,4,11,1,Corp,445320,18
720,208833,112170,0.1551462066506196,4,10,1,Partner,459210,21
756,261097,59398,0.3663100328855068,4,10,1,Sole,445291,17
625,581297,351157,0.1379480308428044,5,12,1,Partner,459210,19
586,115722,74394,0.12962738930558915,5,12,0,Corp,444140,30
706,56632,17109,0.2758392269176067,4,11,0,Corp,445230,18
681,135564,54002,0.20919595570534424,4,11,1,Sole,722410,21
678,84944,19475,0.363474540008558,4,9,0,Partner,722410,13
716,283853,937151,0.025240774076607363,4,8,1,Corp,445291,21
704,295140,104302,0.235805641310809,4,11,1,Corp,445230,10
708,244850,242514,0.0841360361326219,4,12,1,Partner,441120,15
700,316922,163846,0.16118896199276558,4,9,0,Sole,458210,19
620,64733,39245,0.1374548774790844,5,9,0,Partner,445131,19
635,12237,4562,0.22353134590092064,4,10,1,Corp,458210,15
665,152369,113875,0.11150311013538236,4,11,0,Sole,722511,13
683,315252,348444,0.07539518545304268,4,12,1,LLC,445292,23
727,216582,352936,0.0511381666931115,4,10,0,Partner,722513,15
674,205016,46446,0.3678393546627625,4,9,1,Partner,445131,13
650,1217470,855098,0.11864819393020838,4,10,0,LLC,445320,15
646,372850,165701,0.1875114412908391,4,9,0,Partner,445320,21
629,159817,281804,0.047260093303620014,5,9,0,LLC,445292,18
645,278666,54175,0.4286509767728042,4,8,0,Sole,445131,15
